Analyzed file: THE TRAGEDY OF HAMLET PRINCE OF DENMARK.txt
word | frequency
     above |          4
churchyards |          1
     stick |          3
  moderate |          1
    height |          1
    sleeps |          4
    drowns |          1
flourishes |          1
   artless |          1
    myself |         12
    beaten |          1
 wonderful |          2
    ducats |          3
  murdrous |          1
   benefit |          1
     flood |          1
   quality |          4
    drownd |          7
   highest |          1
 shuffling |          2
  receives |          1
     sober |          1
     seein |          1
solicitings |          1
    worlds |          2
     expel |          2
 garrisond |          1
    howeer |          1
   believe |         19
   believd |          1
      long |         17
      fell |          9
  remember |         12
      into |         28
   profane |          1
 enactures |          1
   invites |          1
      womb |          1
     dirty |          1
    middle |          2
      star |          6
    though |         24
   wisdoms |          1
associates |          1
      mans |          5
      many |         18
  heavenly |          2
    valour |          1
      stay |         12
infallibly |          1
  reverend |          1
    appear |          3
       dye |          1
    shards |          1
    impart |          5
     holds |          5
  progress |          1
      open |          2
     seeks |          2
     lasts |          1
 salvation |          2
recognizances |          1
   numbers |          2
     seven |          1
   project |          1
      woot |          5
     locks |          1
affectation |          1
  bodiless |          1
  behooves |          1
     tread |          1
  diameter |          1
      bark |          1
     paces |          1
   roughly |          2
      wood |          1
      bare |          1
  wrinkled |          1
    knewst |          1
     beard |          6
  dropping |          1
      wont |          3
     bears |          2
gentlewoman |          1
  conquest |          1
      look |         37
   yoricks |          1
  plumtree |          1
 assurance |          2
   grounds |          1
 pestilent |          2
  sergeant |          1
  converse |          1
    carnal |          1
     lockd |          2
  farewell |         17
     allow |          1
 appliance |          1
     knock |          1
   pickaxe |          1
      lord |        225
      mass |          5
  stooping |          1
    knockd |          1
    proper |          2
     slain |          6
     beast |          6
    bitter |          3
     speed |          4
 hatchment |          1
     admit |          2
    common |          7
     beart |          1
themselves |          5
  prologue |          5
    chaste |          3
      mart |          1
      mars |          1
politician |          1
     beats |          1
     money |          2
    richer |          2
   ecstacy |          1
      step |          2
      mark |         15
   tribute |          2
temperance |          1
   muddied |          1
      base |          5
       moe |          1
 bounteous |          1
     whole |          7
   fingers |          5
revolution |          1
      loss |          1
      lost |          9
  trifling |          1
    bedded |          1
     still |         20
   pansies |          1
      worn |          1
      worm |          3
      work |         10
      lose |          7
  supposal |          1
seemingvirtuous |          1
    toward |          6
    indict |          1
     books |          1
   knowing |          2
     bawds |          1
providence |          2
     among |          1
    delays |          1
     gorge |          1
    sharkd |          1
      wore |          1
     nymph |          1
      word |         12
   fingerd |          1
     bawdy |          1
      love |         66
  mutinies |          1
      lovd |          5
    blench |          1
    gender |          1
    tongue |         15
postscript |          1
  forehead |          2
     tithe |          1
    greeks |          1
    secret |          4
 ourselves |         13
  throwing |          1
     slave |          4
    across |          1
       ear |         17
congregation |          1
       eat |          5
 impotence |          1
      loud |          3
replication |          1
      bawd |          1
    repent |          3
     niobe |          1
perfections |          1
     sting |          2
     haste |         12
     juice |          1
   opinion |          1
     sends |          4
     seest |          1
altogether |          1
 alexander |          5
   soldier |          3
    duller |          1
     hasty |          1
      stir |          5
 hyrcanian |          1
   rhenish |          2
     voice |         12
   gonzago |          3
     appal |          1
     craft |          2
     recks |          1
     dirge |          1
   pebbles |          1
heavyheaded |          1
     talkd |          2
    peruse |          1
    coward |          2
    mining |          1
 overlookd |          1
  compelld |          1
     seemd |          2
  reynaldo |          6
estimation |          1
   shipped |          1
     seems |          6
 lazarlike |          1
   cannons |          1
      jade |          1
    clouds |          4
   sinners |          1
     elder |          1
  platform |          4
       een |         11
    enmity |          1
       eer |          1
     spend |          1
   extinct |          1
  benetted |          1
unmannerly |          1
   tenants |          1
  heartily |          3
     grave |         11
 advantage |          1
 assistant |          2
  daintier |          1
     spent |          1
   wheaten |          1
controversy |          1
   command |         10
    choler |          2
  variable |          2
    temple |          1
    seduce |          1
 exception |          1
     hands |         11
 desperate |          4
      year |          5
   caviary |          1
  revisits |          1
   nephews |          2
     kites |          1
     music |          8
counsellor |          1
  marvells |          1
       vii |          1
    empire |          2
understanding |          3
    absent |          1
   silence |          5
      near |         11
   because |          1
    moving |          1
     fairy |          1
  springes |          1
unsmirched |          1
     leaps |          2
    packet |          1
 impetuous |          1
      stop |          4
   orchard |          2
conception |          1
    aboard |          3
   returns |          2
  unwatchd |          1
     guest |          2
    folded |          1
    yorick |          1
    beware |          2
    forest |          1
 gauntlets |          1
     least |          2
       eil |          1
immediately |          1
   returnd |          4
  eloquent |          1
     sleep |         12
    cudgel |          1
     sweep |          2
    brands |          1
      slay |          1
     learn |          1
     stung |          1
 unlimited |          1
      neck |          3
  normandy |          1
     sweet |         25
   exploit |          1
 damnation |          1
    thorns |          1
     notes |          1
     eager |          2
  evidence |          1
    repast |          1
    spring |          3
 whirlwind |          1
  quillets |          1
     whats |         11
    riband |          1
     leave |         28
   fitness |          1
      neer |          3
     livst |          1
     knave |          5
   serpent |          2
   assigns |          2
    female |          1
 surrender |          1
     toppd |          1
  minister |          1
      need |          4
     cruel |          2
 nightgown |          1
     wrote |          2
     often |          3
    blazes |          1
    gather |          3
     mayst |          1
    volume |          1
     loose |          2
 loathsome |          1
  crawling |          1
   lasting |          2
    thorny |          1
     rises |          3
     damon |          1
  precurse |          1
   private |          1
 perturbed |          1
     liest |          3
     faild |          1
  sleeping |          4
historicalpastoral |          1
     gates |          1
 precisely |          1
  calamity |          1
     havoc |          1
     forts |          1
       end |         18
     lines |          3
  trialthe |          1
       vow |          2
encompassment |          1
     forty |          2
   panders |          1
   wouldst |          6
     damnd |          5
  shouldst |          2
      toil |          1
      rich |          3
    praisd |          2
   chiefly |          1
    praise |          2
     noted |          1
   special |          3
     vouch |          1
 forgeries |          1
     sweat |          2
 pronouncd |          2
 pronounce |          1
deliberate |          1
     swear |         10
   winking |          1
  slightly |          2
      told |          5
    aeneas |          1
   springs |          1
     adown |          2
   compost |          1
    assays |          1
prettiness |          1
   sullies |          1
     turns |          1
     newly |          1
     tried |          1
     pagan |          1
  outbreak |          1
    narrow |          1
     brave |          3
     judge |          3
    assayd |          1
    harlot |          1
     turnd |          4
     wannd |          1
     shape |          6
       nay |         26
    sexton |          1
allegiance |          1
     forth |          6
    quarry |          1
    drives |          1
   composd |          1
    fadoms |          1
    driven |          1
    graves |          3
circumscribd |          1
   gallows |          3
   weapons |          1
     wooes |          1
   against |         24
   loggets |          1
  chariest |          1
      cell |          1
   vapours |          1
tormenting |          1
   pastors |          1
    rights |          2
     amiss |          2
       ere |         12
     share |          1
truncheons |          1
coronation |          1
 obstinate |          1
     brazd |          1
       err |          1
      tomb |          1
    womens |          1
  weighing |          1
    unripe |          1
     sharp |          1
 preceding |          1
   dawning |          1
 strongest |          1
  shortens |          1
     unpeg |          1
 francisco |          3
     coted |          1
     flies |          1
  journeys |          1
     shake |          2
  winnowed |          1
     linkd |          1
    metals |          1
     naked |          2
     trial |          2
 undertake |          2
     moist |          1
  entrance |          1
     nasty |          1
      took |          4
       new |          3
     below |          3
     musty |          1
  jigmaker |          1
    estate |          3
     shall |        114
   godlike |          1
     shalt |          5
     gibes |          1
 followers |          1
     shame |          8
   mandate |          1
  overdone |          2
    dreams |          3
    dreamt |          1
     trick |          3
   running |          1
     grunt |          1
     spies |          1
    define |          1
  whispers |          1
    tokens |          1
unprofitable |          1
    render |          1
   relievd |          2
  frontier |          1
   intents |          1
    remiss |          1
employment |          2
     plots |          2
 uncurrent |          1
    engagd |          1
   whisper |          2
    straws |          1
  appetite |          1
 borrowing |          1
    queens |          1
 remainder |          1
     forms |          3
fearsurprised |          1
     galls |          2
achievements |          1
      ring |          2
     shift |          1
      nero |          1
     couch |          2
 companies |          1
    upshot |          1
     galld |          1
    adders |          1
   witherd |          1
wittenberg |          4
     amazd |          1
      gins |          1
    builds |          2
   remorse |          1
  shoulder |          3
     pearl |          1
     waves |          3
